axe,indicateur,valeur,source
Périmètre,"Tickets, période opérationnelle","18,056",nb 02
Périmètre,"Tickets, périmètre d'analyse causale","9,381",nb 03
Périmètre,Base textuelle exploitable,"8,348",nb 03
Périmètre,Couverture texte du périmètre d'analyse,89.0 %,nb 03
Qualité,Tickets exclus — journées sous le seuil de couverture,"8,675",nb 03
Qualité,Messages perdus par troncature à l'export,"501,399",nb 01
Cause,Famille dominante (règles seules),45.2 %,nb 04
Cause,Famille dominante (corrigée par audit manuel),~53 %,nb 04
Cause,Argent prélevé à tort ou jamais arrivé (cumul corrigé),~69 %,nb 04
Cause,Textes non reconnus par les règles,32.9 %,nb 04
Traitement,Statut « resolved »,9.3 %,nb 05
Traitement,Messages par ticket (médiane),26,nb 05
Traitement,Messages échangés / agent / mois,"7,959",nb 05
Récidive,Clients ayant déposé >= 2 réclamations,33.8 %,nb 05
Récidive,Part du volume portée par ces clients,59.9 %,nb 05
Récidive,"Re-dépôts (< 7 j, même motif)",19.5 %,nb 05
