origine,effectif,pct
(direction / service interne),5047,63.0
FIRST_BANK_NGAOUNDERE,277,3.5
FIRST_BANK_HIPPODROME,270,3.4
FIRST_BANK_MESSAMENDONGO,109,1.4
FIRST_BANK_KRIBI,108,1.3
FIRST_BANK_FENETRE_ISLAMIQUE_YAOUNDE,104,1.3
FIRST_BANK_DSCHANG,99,1.2
FIRST_BANK_MAROUA,90,1.1
FIRST_BANK_NDOKOTTI,87,1.1
FIRST_BANK_BONAMOUSSADI,81,1.0
FIRST_BANK_BONANJO,76,0.9
FIRST_BANK_EBOLOWA,67,0.8
FIRST_BANK_OLEMBE,65,0.8
FIRST_BANK_BASTOS,63,0.8
FIRST_BANK_AKWA,60,0.7
FIRST_BANK_GAROUA_BOULAI,60,0.7
FIRST_BANK_YASSA,53,0.7
FIRST_BANK_BAMENDA,51,0.6
FIRST_BANK_BONABERI,51,0.6
FIRST_BANK_BESSENGUE,50,0.6
