source_group_id,effectif,pct_du_perimetre_agence
FIRST_BANK_HIPPODROME,255,9.1
FIRST_BANK_NGAOUNDERE,254,9.1
FIRST_BANK_MESSAMENDONGO,107,3.8
FIRST_BANK_KRIBI,101,3.6
FIRST_BANK_FENETRE_ISLAMIQUE_YAOUNDE,100,3.6
FIRST_BANK_DSCHANG,92,3.3
FIRST_BANK_MAROUA,85,3.0
FIRST_BANK_BONAMOUSSADI,80,2.9
FIRST_BANK_NDOKOTTI,77,2.7
FIRST_BANK_BONANJO,74,2.6
FIRST_BANK_EBOLOWA,66,2.4
FIRST_BANK_OLEMBE,62,2.2
FIRST_BANK_BASTOS,58,2.1
FIRST_BANK_GAROUA_BOULAI,57,2.0
FIRST_BANK_AKWA,55,2.0
FIRST_BANK_YASSA,52,1.9
FIRST_BANK_BAMENDA,51,1.8
FIRST_BANK_BESSENGUE,50,1.8
FIRST_BANK_DAKAR,45,1.6
FIRST_BANK_BONABERI,45,1.6
