sous_motif,tickets,mediane
Échec Cash-In,1384,60000.0
Échec Wallet-to-Other-Wallet,1034,49000.0
Bénéficiaire erroné,839,48000.0
Opérations GAB AFB,677,150000.0
Opérations GAB,281,150000.0
Fond non perçu,192,50000.0
Autre,164,150000.0
Échec Cash-Out,142,57500.0
Problème Cash Deposit,128,370000.0
Opération Contestée,111,150000.0
Échec Wallet-to-Wallet,111,50000.0
Paiement En Ligne,57,421333.0
Versement GAB,54,200000.0
Opérations GAB Confrère,40,157000.0
Échec MAC Bank-to-Wallet,20,77000.0
Opérations TPE,19,155914.0
Problème de Crédit,13,1000000.0
Solde Erroné,11,145999.0
Échec Paiement Facture,4,340000.0
Échec MAC Wallet-to-Bank,4,255000.0
Échec Achat Air-Time,3,1000.0
Carte Volée,1,688000.0
Carte Blanche,1,70000.0
