domaine,sous_motif,effectif
Sous domaine Sara transactionnel,Échec Cash-In,1401
Sous domaine Sara transactionnel,Échec Wallet-to-Other-Wallet,1051
Sous domaine Sara transactionnel,Bénéficiaire erroné,849
Sous domaine Monetique,Opérations GAB AFB,695
Sous domaine Monetique,Opérations GAB,288
Sous domaine Sara transactionnel,Fond non perçu,193
Sous domaine Sara transactionnel,Échec Cash-Out,144
Sous domaine Operations bancaire,Problème Cash Deposit,129
Sous domaine Operations bancaire,Opération Contestée,118
Sous domaine Sara transactionnel,Échec Wallet-to-Wallet,114
Sous domaine Operations bancaire,Autre,105
Sous domaine Monetique,Autre,91
Sous domaine Monetique,Versement GAB,74
Sous domaine Monetique,Paiement En Ligne,71
Sous domaine Monetique,Opérations GAB Confrère,41
Sous domaine Monetique,Opérations TPE,22
Sous domaine Sara transactionnel,Échec MAC Bank-to-Wallet,21
Sous domaine Operations bancaire,Problème de Crédit,17
Sous domaine Operations bancaire,Solde Erroné,14
Sous domaine Sara transactionnel,Échec Achat Air-Time,4
Sous domaine Sara transactionnel,Échec Paiement Facture,4
Sous domaine Sara transactionnel,Échec MAC Wallet-to-Bank,4
Sous domaine Monetique,Carte Blanche,2
Sous domaine Monetique,Carte Volée,1
