systeme,domaine,motif,effectif,pct_de_son_systeme
A -- famille causale (règles),,Débité sans que le bénéficiaire soit crédité,4294,41.5
A -- famille causale (règles),,Non classé par les règles,3724,36.0
A -- famille causale (règles),,Erreur de saisie du client (mauvais bénéficiaire),783,7.6
A -- famille causale (règles),,Accès bloqué / OTP / authentification,701,6.8
A -- famille causale (règles),,"Débit injustifié, doublé, ou frais contestés",556,5.4
A -- famille causale (règles),,Carte bancaire / distributeur,206,2.0
A -- famille causale (règles),,Demande d'information (pas une réclamation),83,0.8
B -- sous-motif annoté,Sous domaine Sara transactionnel,Échec Cash-In,1403,25.7
B -- sous-motif annoté,Sous domaine Sara transactionnel,Échec Wallet-to-Other-Wallet,1053,19.3
B -- sous-motif annoté,Sous domaine Sara transactionnel,Bénéficiaire erroné,849,15.6
B -- sous-motif annoté,Sous domaine Monetique,Opérations GAB AFB,695,12.7
B -- sous-motif annoté,Sous domaine Monetique,Opérations GAB,288,5.3
B -- sous-motif annoté,Sous domaine Sara transactionnel,Fond non perçu,193,3.5
B -- sous-motif annoté,Sous domaine Sara transactionnel,Échec Cash-Out,144,2.6
B -- sous-motif annoté,Sous domaine Operations bancaire,Problème Cash Deposit,129,2.4
B -- sous-motif annoté,Sous domaine Operations bancaire,Opération Contestée,118,2.2
B -- sous-motif annoté,Sous domaine Sara transactionnel,Échec Wallet-to-Wallet,114,2.1
B -- sous-motif annoté,Sous domaine Operations bancaire,Autre,105,1.9
B -- sous-motif annoté,Sous domaine Monetique,Autre,91,1.7
B -- sous-motif annoté,Sous domaine Monetique,Versement GAB,74,1.4
B -- sous-motif annoté,Sous domaine Monetique,Paiement En Ligne,71,1.3
B -- sous-motif annoté,Sous domaine Monetique,Opérations GAB Confrère,41,0.8
B -- sous-motif annoté,Sous domaine Monetique,Opérations TPE,22,0.4
B -- sous-motif annoté,Sous domaine Sara transactionnel,Échec MAC Bank-to-Wallet,21,0.4
B -- sous-motif annoté,Sous domaine Operations bancaire,Problème de Crédit,17,0.3
B -- sous-motif annoté,Sous domaine Operations bancaire,Solde Erroné,14,0.3
B -- sous-motif annoté,Sous domaine Sara transactionnel,Échec Achat Air-Time,4,0.1
B -- sous-motif annoté,Sous domaine Sara transactionnel,Échec Paiement Facture,4,0.1
B -- sous-motif annoté,Sous domaine Sara transactionnel,Échec MAC Wallet-to-Bank,4,0.1
B -- sous-motif annoté,Sous domaine Monetique,Carte Blanche,2,0.0
B -- sous-motif annoté,Sous domaine Monetique,Carte Volée,1,0.0
