categorie,systeme_a,systeme_b,total,pct_total
SARA,10678,4009,14687,59.0
COMPTE,4919,343,5262,21.2
CARTE,681,1368,2049,8.2
MAC,159,573,732,2.9
BENEFICIAIRE ERRONE,572,0,572,2.3
CREDIT,387,50,437,1.8
ACCUEIL,278,26,304,1.2
AUTRE,0,285,285,1.1
OPERATIONS_INTERNATIONALES,172,16,188,0.8
EFIRST,86,23,109,0.4
CARTE_BLANCHE,88,16,104,0.4
SARA_FONCTIONNEL,0,72,72,0.3
DECOUVERT,32,1,33,0.1
RECLAMATIONS_DIRECTION_GENERALE,0,16,16,0.1
PROBLEME_DEXPLOITATION,0,12,12,0.0
SYSTAC_SYGMA,0,10,10,0.0
JUSTIFS AVI,4,0,4,0.0
GFA_CLIENT,0,3,3,0.0
