categorie,tickets_a,mediane_a,total_a,tickets_b,mediane_b,total_b,tickets_total,total_consolide
SARA,4343,41500.0,503289605.0,3911,50000.0,609233473.0,8254,1112523078.0
COMPTE,2415,51000.0,462092608.0,303,225000.0,144159940.0,2718,606252548.0
CARTE,87,115000.0,17475805.0,1267,150000.0,319717383.0,1354,337193188.0
CREDIT,61,600000.0,92019674.0,38,1040000.0,115036381.0,99,207056055.0
MAC,0,,,559,109000.0,147983899.0,559,147983899.0
AUTRE,0,,,86,145000.0,50686135.0,86,50686135.0
OPERATIONS_INTERNATIONALES,32,290000.0,24228071.0,13,232544.0,6320771.0,45,30548842.0
EFIRST,5,14000.0,97920.0,7,1000000.0,15300389.0,12,15398309.0
RECLAMATIONS_DIRECTION_GENERALE,0,,,2,366912.0,733823.0,2,733823.0
SYSTAC_SYGMA,0,,,2,353270.0,706541.0,2,706541.0
